event_id,broadcast_type,broadcast_date,tv_station_network,tv_rating
217742,Taped,,Nippon TV,
244030,Taped,2019-10-16,DDTuniverse.com,
179033,Taped,,niconico.jp,
350169,Taped,2022-10-06,AXS TV,
121161,Taped,1965-03-13,,
161086,Taped,2016-09-25,Samurai! TV,
74457,Taped,2012-02-10,Gaora TV,
327051,Live,2021-12-17,FITE TV,
1584,Taped,1994-03-12,TBS,
146092,Live,2016-01-26,YouTube.com,
47100,Taped,2010-03-08,HDNet,
112445,Live,2014-06-16,USA Network,
92974,Taped,2013-03-13,ion Television,
129610,Taped,2009-03-14,TNAwrestling.com,
97512,Taped,,Nippon TV,
353994,Taped,,,
43880,Taped,1994-04-10,Televisa Deportes,
95744,Taped,2005-05-08,,
47466,Taped,1997-09-06,lokale TV Sender (USA),
100950,Live,2013-09-16,USA Network,3.0
227316,Live,2019-04-06,FITE TV,
49240,Taped,1995-03-25,TV Asahi,
36204,Taped,1999-07-24,lokale TV Sender (USA),
254376,Live,2020-02-19,NJPWWorld.com,
101353,Taped,2013-10-07,Gaora TV,
157398,Live,2016-07-20,NJPWWorld.com,
97879,Taped,2000-03-23,lokale TV Sender (USA),
205758,Live,2018-08-13,USA Network,
90596,Taped,2013-01-19,Fox Sports,
329888,Taped,,Nippon TV,
3141,Taped,2005-08-05,TNAwrestling.com,
7591,Live,2006-08-20,PPV Sender,
85421,Taped,2012-09-27,WWE.com,
75820,,,,
8663,Taped,1991-02-09,lokale TV Sender (USA),
85309,Live,2012-09-22,G+,
90232,Taped,2013-06-08,,
197469,Live,2018-05-04,Dragon Gate Network,
319375,Taped,1989-11-18,,
122637,Taped,1968-04-06,,
136657,Taped,2015-09-02,WWE Network,
349577,Taped,2022-08-16,YouTube.com,
207031,Taped,1982-08-21,,
14553,Live,2007-11-06,Sci Fi Channel,1.2
13236,Taped,1993-10-02,lokale TV Sender (USA),
47267,Taped,1995-02-07,lokale TV Sender (USA),
127986,Taped,1969-02-15,,
151720,Taped,2016-04-16,52MX,
153078,Taped,2016-05-07,52MX,
321280,Taped,1989-04-01,,
18386,Taped,1983-03-05,lokale TV Sender (USA),
270438,Taped,2020-05-24,Samurai! TV,
247163,Taped,1985-08-24,lokale TV Sender (USA),
135045,Taped,1973-05-26,,
230792,Taped,2019-06-12,WWE Network,
353943,Live,2022-12-28,TBS,
345450,Taped,2022-06-30,AXS TV,
8892,Taped,2000-05-14,USA Network,
347170,Taped,,,
316488,Taped,1990-10-13,TBS,
127543,Taped,1967-09-16,,
346656,Live,2022-07-09,AJPW.tv,
387093,Live,2024-02-06,USA Network,
4131,Live,1997-05-05,TNT,2.8
90556,Taped,,TV Asahi,
71771,Taped,,TV Asahi,
68104,Taped,1993-01-16,Televisa Deportes,
267474,Taped,1988-12-03,,
44811,Live,2009-11-08,TV Asahi,
173167,Taped,1981-06-28,,
3793,Taped,1998-03-21,Syndication,
350312,Taped,,,
120337,Taped,,niconico.jp,
357472,Live,2023-02-15,TBS,
237792,Taped,2019-08-21,WWE Network,
13233,Taped,1993-09-11,lokale TV Sender (USA),
123521,Live,2015-02-08,NJPWWorld.com,
297109,Taped,2020-12-03,Hulu,
350792,Taped,2022-09-01,AXS TV,
97052,Taped,1992-04-25,lokale TV Sender (USA),
33008,Taped,2008-04-12,CadenaTres,
156021,Taped,2016-06-15,WWE Network,
3999,Live,1995-11-20,TNT,2.5
69216,Taped,1993-11-13,Televisa Deportes,
156700,Taped,,TBS,
292355,Taped,,,
319693,Taped,1989-08-18,TBS,
218458,Taped,2018-12-19,WWE Network,
17314,Taped,1991-06-16,lokale TV Sender (USA),
96424,Taped,,Nippon TV,
312582,Taped,2021-05-25,YouTube.com,
139048,Taped,2001-03-10,lokale TV Sender (USA),
353885,Taped,,,
202378,Live,2018-07-14,TV Asahi,
375555,Live,2023-12-03,FITE TV,
6592,Taped,2006-07-03,Samurai! TV,
15168,,,,
